"id","offer","offer_value","rpe","vpe","ape","choice"
"65786ed4594f411b4eb9ed13","offer8","0.2",0.15,-112,-2,"1"
"65786ed4594f411b4eb9ed13","offer9","0.25",0.2,-71,-64,"0"
"65786ed4594f411b4eb9ed13","offer10","0.25",0.1,-137,-6,"0"
"65786ed4594f411b4eb9ed13","offer11","0.35",0.3,100,5,"0"
"65786ed4594f411b4eb9ed13","offer12","0.3",0.25,-26,3,"0"
"65786ed4594f411b4eb9ed13","offer13","0.35",0.35,17,-24,"0"
"65786ed4594f411b4eb9ed13","offer14","0.3",0.25,-5,4,"0"
"65786ed4594f411b4eb9ed13","offer15","0.4",0.4,88,-30,"0"
"65786ed4594f411b4eb9ed13","offer16","0.45",0.4,151,52,"0"
"65786ed4594f411b4eb9ed13","offer17","0.45",0.4,211,69,"0"
"65786ed4594f411b4eb9ed13","offer18","0.4",0.4,126,-42,"0"
"65786ed4594f411b4eb9ed13","offer19","0.5",0.5,161,127,"0"
"65786ed4594f411b4eb9ed13","offer20","0.5",0.5,234,7,"0"
"63d80a392c05f6a765d9e63a","offer1","0.1",-0.4,-320,-17,"0"
"63d80a392c05f6a765d9e63a","offer2","0.3",-0.05,55,-11,"0"
"63d80a392c05f6a765d9e63a","offer3","0.2",-0.15,-156,2,"0"
"63d80a392c05f6a765d9e63a","offer4","0.15",-0.35,-325,-17,"0"
"63d80a392c05f6a765d9e63a","offer5","0.25",-0.1,42,35,"0"
"63d80a392c05f6a765d9e63a","offer6","0.45",0.1,206,152,"0"
"63d80a392c05f6a765d9e63a","offer7","0.25",0,162,109,"0"
"63d80a392c05f6a765d9e63a","offer8","0.4",0.05,94,71,"0"
"63d80a392c05f6a765d9e63a","offer9","0.35",0,53,4,"0"
"63d80a392c05f6a765d9e63a","offer10","0.45",0.1,175,100,"0"
"63d80a392c05f6a765d9e63a","offer11","0.35",0.1,103,12,"0"
"63d80a392c05f6a765d9e63a","offer12","0.15",-0.2,-98,-16,"0"
"63d80a392c05f6a765d9e63a","offer13","0.5",0.2,201,176,"0"
"63d80a392c05f6a765d9e63a","offer14","0.2",-0.3,-216,-12,"0"
"63d80a392c05f6a765d9e63a","offer15","0.1",-0.15,-224,-9,"0"
"63d80a392c05f6a765d9e63a","offer16","0.4",0.1,128,51,"0"
"63d80a392c05f6a765d9e63a","offer17","0.05",-0.3,-224,48,"0"
"63d80a392c05f6a765d9e63a","offer18","0.3",0,83,-6,"0"
"63d80a392c05f6a765d9e63a","offer19","0.5",0.15,173,126,"0"
"63d80a392c05f6a765d9e63a","offer20","0.05",-0.3,-159,1,"0"
"65c2a02accc966d0a033fe6a","offer1","0.4",-0.1,-3,0,"0"
"65c2a02accc966d0a033fe6a","offer2","0.45",-0.05,141,2,"0"
"65c2a02accc966d0a033fe6a","offer3","0.25",-0.2,-75,4,"1"
"65c2a02accc966d0a033fe6a","offer4","0.1",-0.3,-215,34,"1"
"65c2a02accc966d0a033fe6a","offer5","0.35",0,-183,2,"1"
"65c2a02accc966d0a033fe6a","offer6","0.2",-0.25,-33,108,"1"
"65c2a02accc966d0a033fe6a","offer7","0.2",-0.3,-211,3,"1"
"65c2a02accc966d0a033fe6a","offer8","0.15",-0.1,-73,-7,"1"
"65c2a02accc966d0a033fe6a","offer9","0.3",-0.05,-9,8,"1"
"65c2a02accc966d0a033fe6a","offer10","0.5",0.3,216,70,"0"
"65c2a02accc966d0a033fe6a","offer11","0.45",-0.05,79,38,"0"
"65c2a02accc966d0a033fe6a","offer12","0.15",-0.1,-61,-1,"1"
"65c2a02accc966d0a033fe6a","offer13","0.05",0,-28,-1,"1"
"65c2a02accc966d0a033fe6a","offer14","0.05",-0.1,-123,-3,"1"
"65c2a02accc966d0a033fe6a","offer15","0.5",0.45,326,50,"0"
"65c2a02accc966d0a033fe6a","offer16","0.1",-0.1,-131,0,"1"
"65c2a02accc966d0a033fe6a","offer17","0.4",0.35,103,27,"0"
"65c2a02accc966d0a033fe6a","offer18","0.35",0.3,82,12,"1"
"65c2a02accc966d0a033fe6a","offer19","0.3",0.3,209,23,"1"
"65c2a02accc966d0a033fe6a","offer20","0.25",0.25,223,9,"1"
"6441a242a7d85d5c3e49a173","offer1","0.3",0,182,0,"0"
"6441a242a7d85d5c3e49a173","offer2","0.5",0.15,235,2,"0"
"6441a242a7d85d5c3e49a173","offer3","0.4",0.05,200,-1,"0"
"6441a242a7d85d5c3e49a173","offer4","0.1",-0.15,26,2,"0"
"6441a242a7d85d5c3e49a173","offer5","0.2",-0.1,121,1,"0"
"6441a242a7d85d5c3e49a173","offer6","0.35",0.25,173,-1,"0"
"6441a242a7d85d5c3e49a173","offer7","0.3",0.05,170,1,"0"
"6441a242a7d85d5c3e49a173","offer8","0.1",-0.1,71,-4,"0"
"6441a242a7d85d5c3e49a173","offer9","0.45",0.2,228,-1,"0"
"6441a242a7d85d5c3e49a173","offer10","0.25",0.1,187,-1,"0"
"6441a242a7d85d5c3e49a173","offer11","0.5",0.3,235,0,"0"
"6441a242a7d85d5c3e49a173","offer12","0.45",0.15,203,0,"0"
"6441a242a7d85d5c3e49a173","offer13","0.35",0.1,207,1,"0"
"6441a242a7d85d5c3e49a173","offer14","0.2",-0.1,86,0,"0"
"6441a242a7d85d5c3e49a173","offer15","0.05",-0.15,42,-2,"0"
"6441a242a7d85d5c3e49a173","offer16","0.4",0.2,208,1,"0"
"6441a242a7d85d5c3e49a173","offer17","0.05",-0.15,44,1,"0"
"6441a242a7d85d5c3e49a173","offer18","0.15",0.05,99,3,"0"
"6441a242a7d85d5c3e49a173","offer19","0.15",0.05,68,0,"0"
"6441a242a7d85d5c3e49a173","offer20","0.25",0,126,-4,"0"
"60fcefe49e61a0aa689df3c8","offer1","0.2",0,-191,20,"1"
"60fcefe49e61a0aa689df3c8","offer2","0.05",-0.3,-125,-8,"1"
"60fcefe49e61a0aa689df3c8","offer3","0.1",-0.25,-387,4,"1"
"60fcefe49e61a0aa689df3c8","offer4","0.05",-0.1,32,-481,"1"
"60fcefe49e61a0aa689df3c8","offer5","0.2",-0.2,-349,-5,"1"
"60fcefe49e61a0aa689df3c8","offer6","0.1",0,-61,-27,"1"
"60fcefe49e61a0aa689df3c8","offer7","0.15",-0.2,-84,-8,"1"
"60fcefe49e61a0aa689df3c8","offer8","0.25",-0.2,-313,-4,"1"
"60fcefe49e61a0aa689df3c8","offer9","0.25",-0.1,-361,8,"1"
"60fcefe49e61a0aa689df3c8","offer10","0.35",0.1,104,-1,"1"
"60fcefe49e61a0aa689df3c8","offer11","0.3",0.05,-199,1,"1"
"60fcefe49e61a0aa689df3c8","offer12","0.3",0.15,52,-58,"1"
"60fcefe49e61a0aa689df3c8","offer13","0.35",0.15,144,-7,"0"
"60fcefe49e61a0aa689df3c8","offer14","0.4",0.05,63,-4,"0"
"60fcefe49e61a0aa689df3c8","offer15","0.4",0.1,63,9,"0"
"60fcefe49e61a0aa689df3c8","offer16","0.15",-0.1,-4,-10,"1"
"60fcefe49e61a0aa689df3c8","offer17","0.45",0.2,244,5,"0"
"60fcefe49e61a0aa689df3c8","offer18","0.5",0.25,333,-2,"0"
"60fcefe49e61a0aa689df3c8","offer19","0.45",0.2,80,3,"0"
"60fcefe49e61a0aa689df3c8","offer20","0.5",0.1,72,3,"0"
"6101f6f45269e30a22fc4526","offer1","0.05",-0.35,-203,101,"1"
"6101f6f45269e30a22fc4526","offer2","0.05",-0.35,-217,106,"1"
"6101f6f45269e30a22fc4526","offer3","0.15",-0.25,-94,-64,"1"
"6101f6f45269e30a22fc4526","offer4","0.1",-0.2,-113,-65,"1"
"6101f6f45269e30a22fc4526","offer5","0.3",-0.1,-16,-79,"1"
"6101f6f45269e30a22fc4526","offer6","0.3",-0.05,-22,-105,"1"
"6101f6f45269e30a22fc4526","offer7","0.2",-0.05,-2,90,"1"
"6101f6f45269e30a22fc4526","offer8","0.1",-0.2,-135,-110,"1"
"6101f6f45269e30a22fc4526","offer9","0.45",0.05,59,116,"0"
"6101f6f45269e30a22fc4526","offer10","0.25",0.05,-2,-46,"1"
"6101f6f45269e30a22fc4526","offer11","0.25",-0.15,-26,-137,"1"
"6101f6f45269e30a22fc4526","offer12","0.4",0.2,8,78,"0"
"6101f6f45269e30a22fc4526","offer13","0.35",-0.05,-5,-141,"1"
"6101f6f45269e30a22fc4526","offer14","0.45",0.2,40,106,"0"
"6101f6f45269e30a22fc4526","offer15","0.4",0.1,-2,95,"0"
"6101f6f45269e30a22fc4526","offer16","0.5",0.3,89,194,"0"
"6101f6f45269e30a22fc4526","offer17","0.35",0.1,10,-2,"1"
"6101f6f45269e30a22fc4526","offer18","0.15",-0.05,-35,-35,"1"
"6101f6f45269e30a22fc4526","offer19","0.2",-0.15,-3,-78,"1"
"6101f6f45269e30a22fc4526","offer20","0.5",0.2,84,165,"0"
"65c14559b08873161332b3a4","offer1","0.35",0.1,114,-26,"0"
"65c14559b08873161332b3a4","offer2","0.2",-0.1,-235,-352,"1"
"65c14559b08873161332b3a4","offer3","0.5",0.3,132,102,"0"
"65c14559b08873161332b3a4","offer4","0.05",-0.25,-289,-375,"1"
"65c14559b08873161332b3a4","offer5","0.15",-0.15,-201,-225,"1"
"65c14559b08873161332b3a4","offer6","0.25",0.25,253,29,"0"
"65c14559b08873161332b3a4","offer7","0.3",0,89,-35,"1"
"65c14559b08873161332b3a4","offer8","0.45",0.05,-101,-286,"0"
"65c14559b08873161332b3a4","offer9","0.15",-0.15,-231,-315,"1"
"65c14559b08873161332b3a4","offer10","0.45",0.2,323,-151,"0"
"65c14559b08873161332b3a4","offer11","0.5",0.1,165,92,"0"
"65c14559b08873161332b3a4","offer12","0.35",0,-137,-347,"0"
"65c14559b08873161332b3a4","offer13","0.4",0.4,206,-254,"1"
"65c14559b08873161332b3a4","offer14","0.05",-0.2,-141,-147,"1"
"65c14559b08873161332b3a4","offer15","0.3",0.05,126,-48,"1"
"65c14559b08873161332b3a4","offer16","0.2",-0.05,158,54,"1"
"65c14559b08873161332b3a4","offer17","0.25",-0.05,-299,-360,"1"
"65c14559b08873161332b3a4","offer18","0.1",-0.15,-122,-323,"1"
"65c14559b08873161332b3a4","offer19","0.4",0.1,104,64,"0"
"65c14559b08873161332b3a4","offer20","0.1",-0.25,-376,-349,"1"
"628feaaa86e683cdbebf98a0","offer1","0.05",-0.3,-228,78,"0"
"628feaaa86e683cdbebf98a0","offer2","0.1",-0.2,-218,8,"0"
"628feaaa86e683cdbebf98a0","offer3","0.3",0,-150,-6,"0"
"628feaaa86e683cdbebf98a0","offer4","0.45",0.1,-20,60,"0"
"628feaaa86e683cdbebf98a0","offer5","0.25",-0.15,-172,-2,"0"
"628feaaa86e683cdbebf98a0","offer6","0.4",0.05,-48,71,"0"
"628feaaa86e683cdbebf98a0","offer7","0.35",0.1,-96,4,"0"
"628feaaa86e683cdbebf98a0","offer8","0.15",-0.05,-189,-4,"0"
"628feaaa86e683cdbebf98a0","offer9","0.05",-0.3,-243,40,"0"
"628feaaa86e683cdbebf98a0","offer10","0.2",-0.15,-237,13,"0"
"628feaaa86e683cdbebf98a0","offer11","0.15",-0.1,-218,4,"0"
"628feaaa86e683cdbebf98a0","offer12","0.5",0.15,0,-1,"0"
"628feaaa86e683cdbebf98a0","offer13","0.1",-0.15,-231,5,"0"
"628feaaa86e683cdbebf98a0","offer14","0.25",0,-10,1,"0"
"628feaaa86e683cdbebf98a0","offer15","0.4",0.4,-75,9,"0"
"628feaaa86e683cdbebf98a0","offer16","0.5",0.5,85,-7,"0"
"628feaaa86e683cdbebf98a0","offer17","0.45",0.3,-18,77,"0"
"628feaaa86e683cdbebf98a0","offer18","0.2",-0.05,-138,28,"0"
"628feaaa86e683cdbebf98a0","offer19","0.35",0.1,-42,5,"0"
"628feaaa86e683cdbebf98a0","offer20","0.3",-0.05,-149,79,"0"
"5e2a52f3b023d50c19d98c12","offer1","0.05",-0.45,-402,-52,"1"
"5e2a52f3b023d50c19d98c12","offer2","0.4",0.1,48,131,"0"
"5e2a52f3b023d50c19d98c12","offer3","0.05",-0.2,-230,197,"1"
"5e2a52f3b023d50c19d98c12","offer4","0.1",-0.1,-143,169,"1"
"5e2a52f3b023d50c19d98c12","offer5","0.45",0.35,305,108,"0"
"5e2a52f3b023d50c19d98c12","offer6","0.1",-0.1,-42,283,"1"
"5e2a52f3b023d50c19d98c12","offer7","0.15",-0.1,-159,85,"1"
"5e2a52f3b023d50c19d98c12","offer8","0.15",0.05,-51,-7,"1"
"5e2a52f3b023d50c19d98c12","offer9","0.35",0,-90,27,"0"
"5e2a52f3b023d50c19d98c12","offer10","0.3",-0.2,-391,-22,"1"
"5e2a52f3b023d50c19d98c12","offer11","0.3",0,-27,0,"1"
"5e2a52f3b023d50c19d98c12","offer12","0.4",0.35,430,206,"0"
"5e2a52f3b023d50c19d98c12","offer13","0.45",0.35,436,115,"0"
"5e2a52f3b023d50c19d98c12","offer14","0.25",0.15,28,24,"1"
"5e2a52f3b023d50c19d98c12","offer15","0.25",0.05,-105,-90,"1"
"5e2a52f3b023d50c19d98c12","offer16","0.2",0.1,-48,-76,"1"
"5e2a52f3b023d50c19d98c12","offer17","0.35",0.15,153,77,"0"
"5e2a52f3b023d50c19d98c12","offer18","0.5",0.3,274,217,"0"
"5e2a52f3b023d50c19d98c12","offer19","0.2",0.1,-45,106,"1"
"5e2a52f3b023d50c19d98c12","offer20","0.5",0.35,388,327,"0"
"572535bba34b2a001306827c","offer1","0.15",0,-135,-4,"0"
"572535bba34b2a001306827c","offer2","0.1",-0.4,-353,218,"1"
"572535bba34b2a001306827c","offer3","0.2",-0.05,-159,-58,"1"
"572535bba34b2a001306827c","offer4","0.3",0,-104,-10,"0"
"572535bba34b2a001306827c","offer5","0.1",0.05,-133,181,"1"
"572535bba34b2a001306827c","offer6","0.4",0.25,18,13,"0"
"572535bba34b2a001306827c","offer7","0.35",0.1,-54,9,"0"
"572535bba34b2a001306827c","offer8","0.5",0.25,190,220,"0"
"572535bba34b2a001306827c","offer9","0.25",0.25,-165,16,"0"
"572535bba34b2a001306827c","offer10","0.25",0,-51,11,"0"
"572535bba34b2a001306827c","offer11","0.05",-0.2,-233,209,"1"
"572535bba34b2a001306827c","offer12","0.45",-0.05,27,1,"0"
"572535bba34b2a001306827c","offer13","0.4",0,-86,13,"0"
"572535bba34b2a001306827c","offer14","0.35",-0.15,-186,80,"0"
"572535bba34b2a001306827c","offer15","0.3",0.1,-93,9,"0"
"572535bba34b2a001306827c","offer16","0.2",-0.05,-161,4,"0"
"572535bba34b2a001306827c","offer17","0.05",-0.25,-210,169,"1"
"572535bba34b2a001306827c","offer18","0.45",0.2,105,-1,"0"
"572535bba34b2a001306827c","offer19","0.5",0.3,211,186,"0"
"572535bba34b2a001306827c","offer20","0.15",0.05,-190,11,"1"
"61549a2caa92d84f392000e9","offer1","0.05",0,21,-114,"0"
"61549a2caa92d84f392000e9","offer2","0.1",0.1,-55,103,"0"
"61549a2caa92d84f392000e9","offer3","0.05",-0.05,64,60,"0"
"61549a2caa92d84f392000e9","offer4","0.15",0.05,6,-6,"0"
"61549a2caa92d84f392000e9","offer5","0.15",0.15,7,-93,"0"
"61549a2caa92d84f392000e9","offer6","0.2",0.1,-1,219,"0"
"61549a2caa92d84f392000e9","offer7","0.1",-0.3,-71,98,"0"
"61549a2caa92d84f392000e9","offer8","0.25",0.15,-4,-18,"0"
"61549a2caa92d84f392000e9","offer9","0.2",0.1,41,-311,"0"
"61549a2caa92d84f392000e9","offer10","0.25",0.2,-71,160,"0"
"61549a2caa92d84f392000e9","offer11","0.3",0.2,40,134,"0"
"61549a2caa92d84f392000e9","offer12","0.35",0.35,55,-34,"0"
"61549a2caa92d84f392000e9","offer13","0.35",0.3,-116,82,"0"
"61549a2caa92d84f392000e9","offer14","0.3",0.25,-59,5,"0"
"61549a2caa92d84f392000e9","offer15","0.4",0.4,32,197,"0"
"61549a2caa92d84f392000e9","offer16","0.45",0.4,0,167,"0"
"61549a2caa92d84f392000e9","offer17","0.4",0.3,-13,-102,"0"
"61549a2caa92d84f392000e9","offer18","0.5",0.4,-50,114,"0"
"61549a2caa92d84f392000e9","offer19","0.45",0.4,20,131,"0"
"61549a2caa92d84f392000e9","offer20","0.5",0.4,-62,-266,"0"
"5ab56fdff69e940001d8da97","offer1","0.5",0.3,206,4,"0"
"5ab56fdff69e940001d8da97","offer2","0.25",0.05,11,-7,"0"
"5ab56fdff69e940001d8da97","offer3","0.5",0.25,191,35,"0"
"5ab56fdff69e940001d8da97","offer4","0.4",0.2,176,14,"0"
"5ab56fdff69e940001d8da97","offer5","0.15",-0.15,-138,18,"0"
"5ab56fdff69e940001d8da97","offer6","0.25",0.05,24,7,"0"
"5ab56fdff69e940001d8da97","offer7","0.45",0.25,152,19,"0"
"5ab56fdff69e940001d8da97","offer8","0.3",0.1,38,-6,"0"
"5ab56fdff69e940001d8da97","offer9","0.2",-0.05,-36,-13,"0"
"5ab56fdff69e940001d8da97","offer10","0.45",0.2,118,18,"0"
"5ab56fdff69e940001d8da97","offer11","0.1",-0.15,-95,-14,"0"
"5ab56fdff69e940001d8da97","offer12","0.35",0.15,93,2,"0"
"5ab56fdff69e940001d8da97","offer13","0.05",-0.05,-63,-3,"0"
"5ab56fdff69e940001d8da97","offer14","0.35",0.25,102,15,"0"
"5ab56fdff69e940001d8da97","offer15","0.3",0.15,28,5,"0"
"5ab56fdff69e940001d8da97","offer16","0.05",-0.1,-89,-2,"0"
"5ab56fdff69e940001d8da97","offer17","0.2",0.05,9,-6,"0"
"5ab56fdff69e940001d8da97","offer18","0.15",0.05,34,-12,"0"
"5ab56fdff69e940001d8da97","offer19","0.4",0.3,183,15,"0"
"5ab56fdff69e940001d8da97","offer20","0.1",-0.05,-18,-4,"0"
